unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
11343647,JB301476,6/10/2018 20:00:00,0000X E LOWER WACKER DR,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,ALLEY,FALSE,FALSE,111,1,42,32,02,1176971,1902537,2018,6/17/2018 15:50:56,"41,88790413","-87,62555495","(41.887904127, -87.625554948)"
12816722,JF368548,10/1/2021 0:01:00,0000X W RANDOLPH ST,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,FALSE,FALSE,111,1,42,32,02,,,2021,9/5/2022 15:40:38,,,
3860574,HL236732,3/15/2005 20:00:00,001XX N CLINTON ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,111,1,42,28,03,1172696,1901419,2005,2/10/2018 15:50:01,"41,88493195","-87,64128711","(41.884931952, -87.641287111)"
4257590,HL577854,8/28/2005 17:45:00,002XX S CANAL ST,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,111,1,2,28,03,1173177,1899236,2005,2/28/2018 15:56:25,"41,878931","-87,63958562","(41.878931004, -87.639585621)"
13149899,JG352235,7/22/2023 23:56:00,001XX N STATE ST,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,FALSE,FALSE,111,1,42,32,03,1176338,1901346,2023,8/19/2023 15:40:26,"41,88465026","-87,62791546","(41.884650262, -87.627915459)"
10830850,JA131339,1/26/2017 21:41:00,0000X E RANDOLPH ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,111,1,42,32,03,1176647,1901292,2017,2/14/2017 15:49:42,"41,88449511","-87,62678241","(41.884495108, -87.626782413)"
7191207,HR595028,10/18/2009 17:45:00,002XX S CANAL ST,0320,ROBBERY,STRONGARM - NO WEAPON,OTHER RAILROAD PROP / TRAIN DEPOT,FALSE,FALSE,111,1,2,28,03,1173177,1899236,2009,2/28/2018 15:56:25,"41,878931","-87,63958562","(41.878931004, -87.639585621)"
4504248,HL808821,12/25/2005 10:12:39,002XX S CANAL ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,111,1,2,28,03,1173177,1899236,2005,2/28/2018 15:56:25,"41,878931","-87,63958562","(41.878931004, -87.639585621)"
10270803,HY458816,10/12/2015 9:25:00,0000X E LAKE ST,0320,ROBBERY,STRONGARM - NO WEAPON,OTHER,TRUE,FALSE,111,1,42,32,03,1176575,1901750,2015,2/10/2018 15:50:01,"41,88575351","-87,62703296","(41.885753511, -87.627032961)"
7564951,HS369861,6/19/2010 18:00:00,002XX S CANAL ST,0320,ROBBERY,STRONGARM - NO WEAPON,OTHER COMMERCIAL TRANSPORTATION,FALSE,FALSE,111,1,2,28,03,1173177,1899236,2010,2/10/2018 15:50:01,"41,878931","-87,63958562","(41.878931004, -87.639585621)"
11329705,JB283101,5/29/2018 2:30:00,001XX N STATE ST,0320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,FALSE,FALSE,111,1,42,32,03,1176345,1901114,2018,6/5/2018 15:53:03,"41,88401348","-87,62789676","(41.884013483, -87.627896757)"
13532035,JH350131,7/17/2024 4:33:00,002XX N STATE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA PLATFORM,FALSE,FALSE,111,1,42,32,03,1176327,1901797,2024,7/25/2024 15:41:20,"41,88588808","-87,62794224","(41.885888079, -87.627942238)"
13546626,JH367379,7/30/2024 0:04:00,0000X E LAKE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,FALSE,FALSE,111,1,34,32,03,1176931,1901744,2024,8/7/2024 15:41:02,"41,885729","-87,62572585","(41.885728999, -87.625725853)"
7890876,HT119712,1/14/2011 17:25:00,005XX W MADISON ST,0320,ROBBERY,STRONGARM - NO WEAPON,OTHER,FALSE,FALSE,111,1,42,28,03,1173039,1900311,2011,2/4/2016 6:33:39,"41,88188393","-87,64006044","(41.881883933, -87.640060441)"
11999779,JD174514,3/5/2020 4:08:00,0000X W IDA B WELLS DR,0320,ROBBERY,STRONG ARM - NO WEAPON,GAS STATION,FALSE,FALSE,111,1,4,32,03,,,2020,3/18/2020 15:40:21,,,
3626551,HK716813,10/28/2004 22:37:50,002XX S RIVERSIDE PLZ,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,TRUE,FALSE,111,1,2,28,03,1173472,1899214,2004,2/10/2018 15:50:01,"41,87886409","-87,6385031","(41.878864086, -87.638503099)"
11763439,JC355593,7/19/2019 1:00:00,0000X W LAKE ST,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,SIDEWALK,FALSE,FALSE,111,1,42,32,03,1176177,1901746,2019,7/26/2019 15:40:06,"41,88575151","-87,6284946","(41.885751514, -87.628494602)"
11416691,JB396807,8/16/2018 0:35:00,0000X E WACKER DR,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,111,1,42,32,04B,1176621,1902155,2018,8/23/2018 16:00:50,"41,88686381","-87,6268518","(41.886863814, -87.626851797)"
4664628,HM263140,3/31/2006 7:15:00,001XX S CLINTON ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,TRUE,FALSE,111,1,2,28,04B,1172750,1899670,2006,2/28/2018 15:56:25,"41,88013139","-87,64114062","(41.880131389, -87.641140619)"
12562187,JE464175,12/2/2021 22:07:00,001XX N STATE ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA PLATFORM,FALSE,FALSE,111,1,42,32,04B,1176330,1901649,2021,12/11/2021 15:40:26,"41,88548189","-87,62793569","(41.885481891, -87.627935689)"
12064032,JD248253,5/30/2020 17:45:00,0000X E WACKER DR,0453,BATTERY,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,SIDEWALK,FALSE,FALSE,111,1,42,32,04B,1176429,1902142,2020,6/6/2020 15:41:51,"41,88683248","-87,62755726","(41.886832476, -87.627557257)"
13612680,JH446685,9/27/2024 18:00:00,0000X E RANDOLPH ST,0453,BATTERY,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,SMALL RETAIL STORE,FALSE,FALSE,111,1,42,32,04B,1176582,1901291,2024,10/5/2024 15:41:21,"41,88449383","-87,62702113","(41.884493832, -87.627021129)"
10768403,HZ532632,11/28/2016 20:05:00,001XX N STATE ST,0460,BATTERY,SIMPLE,RESTAURANT,FALSE,FALSE,111,1,42,32,08B,1176332,1901600,2016,2/10/2018 15:50:01,"41,88534739","-87,62792982","(41.885347387, -87.627929824)"
11368039,JB333541,7/3/2018 12:40:00,001XX N WABASH AVE,0460,BATTERY,SIMPLE,RESTAURANT,FALSE,FALSE,111,1,42,32,08B,1176785,1901595,2018,7/10/2018 16:03:21,"41,88532344","-87,6262665","(41.885323437, -87.626266497)"
11268062,JB201154,3/27/2018 6:00:00,002XX N STATE ST,0460,BATTERY,SIMPLE,CTA TRAIN,FALSE,FALSE,111,1,42,32,08B,1176327,1901797,2018,5/4/2018 15:51:04,"41,88588808","-87,62794224","(41.885888079, -87.627942238)"
11434503,JB419793,9/2/2018 22:38:00,0000X E WACKER DR,0460,BATTERY,SIMPLE,HOTEL/MOTEL,TRUE,FALSE,111,1,42,32,08B,1177009,1902589,2018,9/9/2018 15:57:45,"41,88804596","-87,62541383","(41.888045958, -87.625413826)"
4125149,HL460889,7/3/2005 22:24:55,003XX W MONROE ST,0460,BATTERY,SIMPLE,STREET,FALSE,FALSE,111,1,2,32,08B,1173791,1899857,2005,2/28/2018 15:56:25,"41,88062143","-87,63731266","(41.880621426, -87.637312656)"
3177907,HK182133,2/14/2004 1:43:33,002XX S CLINTON ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,FALSE,FALSE,111,1,2,28,08B,1172763,1899306,2004,2/28/2018 15:56:25,"41,87913226","-87,64110367","(41.879132261, -87.641103666)"
7925369,HT157153,2/11/2011 13:40:00,003XX W MADISON ST,0460,BATTERY,SIMPLE,STREET,FALSE,FALSE,111,1,42,32,08B,1174154,1900335,2011,2/4/2016 6:33:39,"41,881925","-87,6359655","(41.881925001, -87.635965503)"
12004953,JD180723,3/10/2020 13:05:00,001XX N DEARBORN ST,0460,BATTERY,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,TRUE,111,1,42,32,08B,1175928,1900994,2020,9/7/2021 15:41:02,"41,88369359","-87,62943162","(41.883693593, -87.629431622)"
4684177,HM282949,3/20/2006 0:01:00,005XX W MADISON ST,0460,BATTERY,SIMPLE,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,111,1,42,28,08B,1173039,1900311,2006,2/10/2018 15:50:01,"41,88188393","-87,64006044","(41.881883933, -87.640060441)"
4705595,HM309377,4/24/2006 8:45:00,005XX W MONROE ST,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,111,1,2,28,08B,1173053,1899838,2006,2/28/2018 15:56:25,"41,88058568","-87,64002307","(41.88058568, -87.640023065)"
12333027,JE190684,4/5/2021 21:50:00,0000X E WACKER DR,0460,BATTERY,SIMPLE,CONVENIENCE STORE,TRUE,FALSE,111,1,42,32,08B,1176621,1902155,2021,4/12/2021 15:41:40,"41,88686381","-87,6268518","(41.886863814, -87.626851797)"
12466764,JE354320,8/29/2021 14:10:00,0000X E RANDOLPH ST,0460,BATTERY,SIMPLE,DEPARTMENT STORE,FALSE,FALSE,111,1,42,32,08B,1176582,1901291,2021,9/5/2021 15:40:12,"41,88449383","-87,62702113","(41.884493832, -87.627021129)"
12454338,JE339321,8/16/2021 13:36:00,003XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,RESTAURANT,FALSE,FALSE,111,1,42,32,08B,1177242,1902518,2021,8/23/2021 15:41:28,"41,88784585","-87,62456034","(41.887845852, -87.624560336)"
5531348,HN340628,5/13/2007 21:20:00,0000X N WACKER DR,0460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,111,1,42,32,08B,1173934,1900390,2007,2/28/2018 15:56:25,"41,88208083","-87,63677169","(41.882080827, -87.636771693)"
7392900,HS195386,3/7/2010 2:05:00,006XX W WASHINGTON BLVD,0460,BATTERY,SIMPLE,BAR OR TAVERN,FALSE,FALSE,111,1,27,28,08B,1171763,1900767,2010,2/10/2018 15:50:01,"41,88316342","-87,64473242","(41.883163417, -87.644732419)"
7381235,HS182151,2/26/2010 8:45:00,005XX W MADISON ST,0460,BATTERY,SIMPLE,CREDIT UNION,FALSE,FALSE,111,1,42,28,08B,1173039,1900311,2010,2/10/2018 15:50:01,"41,88188393","-87,64006044","(41.881883933, -87.640060441)"
7326478,HS130409,1/21/2010 11:38:00,005XX W LAKE ST,0460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,111,1,42,28,08B,1172491,1901698,2010,2/10/2018 15:50:01,"41,88570208","-87,64203164","(41.885702079, -87.642031644)"
9880197,HX530924,12/5/2014 8:15:00,0000X E RANDOLPH ST,0460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,111,1,42,32,08B,1176930,1901295,2014,2/10/2018 15:50:01,"41,88449694","-87,62574312","(41.884496941, -87.625743121)"
9065648,HW209988,3/28/2013 14:45:00,0000X W RANDOLPH ST,0460,BATTERY,SIMPLE,RESTAURANT,FALSE,FALSE,111,1,42,32,08B,1176046,1901283,2013,2/10/2018 15:50:01,"41,88448397","-87,62898961","(41.884483968, -87.628989611)"
